Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty
australia,Reef,-34.33318710327148,150.92713928222656,Reef break,Right & left,Coral reef,Intermediate surfer
australia,Sandon Point,-34.32841110229492,150.92984008789062,Reef break,Right,Rocky reef,Advanced surfer
australia,Shitties,-34.44109725952148,150.90112304687500,Beach break,Right & left,Sand & Rock,Intermediate surfer
australia,Shoalhaven Heads Main Beach,-34.85115051269531,150.75057983398438,Beach break,Right & left,Sand,Intermediate surfer
australia,The Farm,-34.60707473754883,150.86941528320312,Beach break,Right & left,Sand,Beginners
australia,The Farm - Killela State Park ,-34.60369873046875,150.86784362792970,Beach break,Right & left,Sand & Rock,Intermediate surfer
australia,The Shallows,-34.59130477905273,150.87739562988280,Reef break,Right & left,Rocky reef,Intermediate surfer
australia,Warilla Beach,-34.54898452758789,150.87387084960938,Beach break,Right & left,Sand,Intermediate surfer
australia,Wollongong North Beach,-34.40690994262695,150.84228515625000,Beach break,Right & left,Sand,Beginners
australia,Crescent Head,-31.18460845947266,152.99217224121094,Point break,Right,Sand & Rock,Intermediate surfer
australia,Flynn's Beach,-31.44239425659180,152.92964172363280,Beach break,Right & left,Sand,Beginners
australia,Grassy Head,-30.79537773132324,153.01037597656250,Point break,Right & left,Boulders,Beginners
australia,Horseshoe Bay,-30.87335014343262,153.06718444824220,Point break,Right,Sand & Rock,Beginners
australia,Middle Rock,-31.56405639648438,152.85197448730470,Reef break,Left,Unknown,Intermediate surfer
australia,North Wall,-31.42313385009766,152.91659545898438,Beach break,Right & left,Sand & Rock,Beginners
australia,Point Plomer,-31.27503013610840,152.98220825195312,Reef break,Right,Boulders,Beginners
australia,Scotts Head,-30.74257278442383,153.00247192382812,Point break,Right,Sand,Beginners
australia,1 mile,-32.77846908569336,152.11703491210938,Point break,Right,Sand,Intermediate surfer
australia,Bar Beach,-32.94205856323242,151.76707458496094,Beach break,Right & left,Sand & Rock,Intermediate surfer
australia,Cowrie Hole,-32.92871475219727,151.79202270507812,Reef break,Right,Rocky reef,Advanced surfer
australia,Dixon Park Beach,-32.94692230224609,151.76161193847656,Beach break,Right & left,Sand,Intermediate surfer
australia,Merewether Beach,-32.95912933349609,151.74891662597656,Reef break,Right,Rocky reef,Intermediate surfer
australia,Newie harbour,-32.91418075561523,151.81388854980470,Reef break,Right,Rocky reef,Advanced surfer
australia,Newy Beach,-32.93006515502930,151.78704833984375,Beach break,Right & left,Sand & Rock,Advanced surfer
australia,Rixon Beach,-32.87497329711914,151.87500000000000,Point break,Right & left,Sand,Intermediate surfer
australia,South Bar,-32.95070266723633,151.75801086425780,Beach break,Right & left,Sand,Intermediate surfer
australia,Stockton Beach,-32.90279388427734,151.78874206542970,Beach break,Right & left,Sand & Rock,Advanced surfer
australia,The Cliff,-32.94462585449219,151.76557922363280,Beach break,Right & left,Sand,Beginners
australia,Angourie Point,-29.48383903503418,153.37188720703125,Point break,Right,Boulders,Intermediate surfer
australia,Backs,-29.48667716979980,153.36604309082030,Reef break,Right,Boulders,Beginners
australia,Lennox Head,-28.80978393554688,153.62182617187500,Point break,Right,Rocky reef,Advanced surfer
australia,Razors,-29.43797111511230,153.37278747558594,Reef break,Right,Coral reef,Advanced surfer
australia,Spot X,-28.83546257019043,153.60620117187500,Beach break,Right & left,Sand & Rock,Intermediate surfer
australia,Tallows,-28.65074539184570,153.63354492187500,Beach break,Right & left,Sand,Beginners
australia,The Pass,-28.63333702087402,153.62542724609375,Point break,Right,Sand & Rock,Intermediate surfer
australia,The Wreck,-28.63882446289062,153.61395263671875,Beach break,Right & left,Sand & Rock,Beginners
australia,Turners,-29.43550491333008,153.36430358886720,Point break,Right & left,Sand,Beginners
australia,Wategos,-28.63566398620605,153.63427734375000,Beach break,Right,Sand & Rock,Intermediate surfer
australia,Broulee North Beach,-35.84829330444336,150.17709350585938,Beach break,Right & left,Sand,Beginners
australia,Broulee South Beach,-35.86651611328125,150.16354370117188,Beach break,Left,Sand,Intermediate surfer
australia,Swifties,-36.17689514160156,150.13276672363280,Reef break,Right,Rocky reef,Advanced surfer
australia,Boxhead,-33.54079818725586,151.33032226562500,Rivermouth,Left,Sand,Advanced surfer
australia,Bungan Beach,-33.66778182983398,151.32087707519530,Beach break,Right & left,Sand,Intermediate surfer
australia,Curl Curl,-33.77286911010742,151.29890441894530,Beach break,Right & left,Sand & Rock,Beginners
australia,Dee Why,-33.75785064697266,151.30297851562500,Beach break,Right & left,Sand,Beginners
australia,Dee Why Point,-33.75424575805664,151.29949951171875,Reef break,Right,Rocky reef,Advanced surfer
australia,Dontals,-33.74328994750977,151.32067871093750,Reef break,Right & left,Rocky reef,Intermediate surfer
australia,Fairy Bower - The Bower,-33.79819488525391,151.29804992675780,Reef break,Right,Boulders,Advanced surfer
australia,Freshwater Beach,-33.78421401977539,151.29341125488280,Beach break,Right & left,Sand,Intermediate surfer
australia,Little Avalon,-33.63919067382812,151.33297729492188,Reef break,Right,Sand & Rock,Advanced surfer
australia,Long Reef,-33.74468231201172,151.30740356445312,Reef break,Right & left,Sand & Rock,Beginners
australia,Manly Beach,-33.79469680786133,151.29306030273438,Beach break,Right & left,Sand,Beginners
australia,North Narrabeen Point,-33.70563507080078,151.31126403808594,Point break,Left,Rocky reef,Advanced surfer
australia,Saffa Matt's,-33.75061035156250,151.29890441894530,Beach break,Right & left,Sand,Intermediate surfer
australia,Shelly's Beach,-33.79962158203125,151.29704284667970,Reef break,Right,Coral reef,Intermediate surfer
australia,South Narrabeen,-33.72662353515625,151.30541992187500,Beach break,Right & left,Sand,Intermediate surfer
australia,The Wedge,-33.60798645019531,151.33352661132812,Reef break,Left,Sand & Rock,Intermediate surfer
australia,Winki,-33.79985809326172,151.29905700683594,Reef break,Right,Boulders,Advanced surfer
australia,Bay Surf,-34.07463073730469,151.14514160156250,Rivermouth,Right,Sand,Beginners
australia,Bommies Bay,-33.91582107543945,151.26275634765625,Reef break,Right & left,Coral reef,Advanced surfer
australia,Bondi Beach,-33.89378356933594,151.27508544921875,Beach break,Right,Sand,Intermediate surfer
australia,Cronulla Point,-34.05680084228516,151.15798950195312,Reef break,Right,Rocky reef,Advanced surfer
australia,Green Hills,-34.04119110107422,151.16629028320312,Beach break,Right & left,Sand,Beginners
australia,Maroubra,-33.99347305297852,151.22680664062500,Beach break,Right & left,Sand,Intermediate surfer
australia,Shark Island,-34.05941390991211,151.15977478027344,Reef break,Right,Rocky reef,Advanced surfer
australia,The Wall,-34.04960250854492,151.15866088867188,Beach break,Right & left,Sand,Beginners
australia,Bribie Island,-27.06845092773438,153.20510864257812,Beach break,Right & left,Sand,Intermediate surfer
australia,Cylinder Beach,-27.42427062988281,153.53355407714844,Point break,Right,Sand & Rock,Beginners
australia,Pinkenba ,-27.41750907897949,153.14007568359375,Beach break,Right & left,Sand & Rock,Intermediate surfer
australia,Redcliffe,-27.21045112609863,153.11761474609375,Beach break,Right & left,Sand & Rock,Unknown
australia,Woorim Wall,-27.07543945312500,153.20690917968750,Beach break,Right & left,Sand,Intermediate surfer
australia,Agnes Waters,-24.16930770874023,151.93405151367188,Point break,Right,Sand,Beginners
australia,Big Dune,-22.99632263183594,150.78186035156250,Beach break,Right & left,Sand,Intermediate surfer
australia,75 Mile Beach,-25.48612785339355,153.14117431640625,Beach break,Left,Sand & Rock,Advanced surfer
