Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty,Fixed
philippines,bacnotan,16.72566032409668,120.34106445312500,Reef break,Right,Rocky reef,Advanced surfer,N
philippines,bagasbas,14.13657569885254,122.98383331298828,Reef break,Left,Sand,Unknown,N
philippines,baler,15.75607585906982,121.57350921630860,Beach break,Right & left,Sand,Beginners,N
philippines,cobra,15.78004169464111,121.61594390869140,Reef break,Right & left,Rocky reef,Advanced surfer,N
philippines,crystal_beach,15.01891994476318,120.06539916992188,Beach break,Right & left,Sand,Beginners,N
philippines,jomalig_island,14.68467140197754,122.41172790527344,Beach break,Right & left,Sand & Rock,Advanced surfer,N
philippines,lolasayong,12.91698265075684,124.12113189697266,Beach break,Right & left,Sand,Intermediate surfer,N
philippines,mona_lisa_point,16.64893913269043,120.30557250976562,Point break,Right,Coral reef,Intermediate surfer,N
philippines,san_antonio,18.35928535461426,121.64303588867188,Beach break,Right & left,Sand,Intermediate surfer,N
philippines,san_juan,16.65888786315918,120.32153320312500,Reef break,Right,Sand,Beginners,N
philippines,dahican,6.92950010299683,126.27878570556640,Reef break,Right,Rocky reef,Intermediate surfer,N
philippines,cloud_9,9.81157779693604,126.17420196533203,Reef break,Right & left,Coral reef,Advanced surfer,N
philippines,the_hidden_waves_of_samar,10.96371555328369,125.82969665527344,Reef break,Right & left,Coral reef,Intermediate surfer,N
south_korea,ingu_beach,37.96781158447266,128.76264953613280,Beach break,Right & left,Sand,Beginners,N
south_korea,jukdo,37.97397613525391,128.76008605957030,Beach break,Right & left,Sand,Beginners,N
south_korea,jungmun,33.24496841430664,126.41161346435547,Beach break,Right & left,Sand,Intermediate surfer,N
south_korea,malipo_beach,36.78915023803711,126.14260101318360,Beach break,Right & left,Sand,Intermediate surfer,N
south_korea,songjeong_beach,35.17844009399414,129.19976806640625,Beach break,Right & left,Sand,Beginners,N
sri_lanka,arugam_bay_main_point,6.85007762908936,81.85638427734375,Reef break,Right,Coral reef,Intermediate surfer,N
sri_lanka,deveta,6.03310298919678,80.22335052490234,Beach break,Right & left,Sand,Beginners,N
